5605,689,1515,289,49,151,660,455,1259,83,51,27.00,32.80,42.00,74.80
5509,891,1480,308,17,232,852,570,1151,88,23,26.90,34.00,45.70,79.70
5575,724,1497,300,42,139,689,383,973,104,34,26.90,32.20,41.20,73.40
5565,696,1486,288,39,136,663,457,1159,93,36,26.70,32.60,40.60,73.20
5572,737,1479,274,49,186,702,388,1283,97,43,26.50,31.50,43.20,74.80
5640,748,1495,294,33,161,706,478,1148,71,27,26.50,32.50,41.50,74.00
5649,720,1494,289,48,154,680,490,1312,132,44,26.40,32.40,41.40,73.80
5463,613,1420,236,40,120,575,375,1150,112,45,26.00,31.00,38.40,69.40
5631,697,1462,292,27,140,661,461,1322,98,45,26.00,32.30,39.60,71.90
5511,751,1419,279,32,172,707,503,1233,101,39,25.70,32.50,41.30,73.90
5439,669,1395,303,29,141,640,533,1157,86,28,25.60,32.50,40.10,72.50
5484,647,1386,288,39,137,619,506,1267,69,38,25.30,32.10,39.40,71.60
5485,644,1383,278,32,167,612,436,1310,87,45,25.20,31.40,40.60,72.00
5480,655,1378,274,34,145,624,412,1299,84,29,25.10,30.70,39.30,70.00
5420,573,1361,251,18,100,548,471,1107,69,33,25.10,31.40,35.90,67.40
5428,703,1363,265,13,177,665,539,1344,57,23,25.10,32.10,40.30,72.40
5567,764,1397,272,19,212,737,554,1227,63,25,25.10,32.30,42.10,74.40
5600,694,1405,277,46,146,661,475,1119,78,29,25.10,31.20,39.50,70.70
5385,667,1346,263,26,187,638,563,1258,59,34,25.00,32.60,41.30,73.90
5485,713,1370,246,20,217,686,418,1331,44,25,25.00,30.70,42.10,72.80
5459,729,1363,278,26,230,691,486,1392,121,48,25.00,31.50,43.70,75.20
5533,622,1381,260,27,136,595,404,1231,68,42,25.00,30.60,38.00,68.60
5544,656,1379,262,22,198,624,478,1336,69,45,24.90,31.10,41.10,72.20
5529,626,1374,272,37,130,586,387,1274,88,32,24.90,30.30,38.20,68.40
5571,641,1382,257,27,167,613,496,1255,134,38,24.80,31.20,39.40,70.60
5467,696,1349,277,44,156,661,439,1264,70,38,24.70,30.50,39.90,70.40
5417,661,1331,243,21,176,621,435,1150,52,34,24.60,30.70,39.60,70.20
5527,683,1351,295,17,177,654,488,1290,51,25,24.40,31.20,40.00,71.20
5491,689,1341,272,30,171,657,567,1518,95,37,24.40,32.10,39.80,71.90
5457,650,1324,260,36,148,623,426,1327,82,29,24.30,30.00,38.50,68.50
